entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
10000,Find.last,24,8,108200,1352.5,0,0
10000,Find.missing,0,8,106823,1335.2875,0,0
10000,Find.missing,1,8,104898,1311.225,0,0
10000,Find.missing,2,8,108048,1350.6,0,0
10000,Find.missing,3,8,107072,1338.4,0,0
10000,Find.missing,4,8,108892,1361.15,0,0
10000,Find.missing,5,8,106346,1329.325,0,0
10000,Find.missing,6,8,106050,1325.625,0,0
10000,Find.missing,7,8,104260,1303.25,0,0
10000,Find.missing,8,8,103952,1299.4,0,0
10000,Find.missing,9,8,104190,1302.375,0,0
10000,Find.missing,10,8,102897,1286.2125,0,0
10000,Find.missing,11,8,104039,1300.4875,0,0
10000,Find.missing,12,8,105271,1315.8875,0,0
10000,Find.missing,13,8,100873,1260.9125,0,0
10000,Find.missing,14,8,103614,1295.175,0,0
10000,Find.missing,15,8,99612,1245.15,0,0
10000,Find.missing,16,8,102166,1277.075,0,0
10000,Find.missing,17,8,104106,1301.325,0,0
10000,Find.missing,18,8,101719,1271.4875,0,0
10000,Find.missing,19,8,108189,1352.3625,0,0
10000,Find.missing,20,8,106707,1333.8375,0,0
10000,Find.missing,21,8,104891,1311.1375,0,0
10000,Find.missing,22,8,107298,1341.225,0,0
10000,Find.missing,23,8,102520,1281.5,0,0
10000,Find.missing,24,8,106625,1332.8125,0,0
10000,Find.uniform,0,8,58922,736.525,0,0
10000,Find.uniform,1,8,52305,653.8125,0,0
10000,Find.uniform,2,8,52711,658.8875,0,0
10000,Find.uniform,3,8,52438,655.475,0,0
10000,Find.uniform,4,8,52330,654.125,0,0
10000,Find.uniform,5,8,53376,667.2,0,0
10000,Find.uniform,6,8,53895,673.6875,0,0
10000,Find.uniform,7,8,53474,668.425,0,0
10000,Find.uniform,8,8,56955,711.9375,0,0
10000,Find.uniform,9,8,52915,661.4375,0,0
10000,Find.uniform,10,8,52686,658.575,0,0
10000,Find.uniform,11,8,54655,683.1875,0,0
10000,Find.uniform,12,8,52178,652.225,0,0
10000,Find.uniform,13,8,51397,642.4625,0,0
